"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"74","186.63345811740012","136.65842368763077","0.080078125","0.05224609375","0.10791015625","1560","0.00029452839789841524","0.00029452839789841524","0","0.00029452839789841524","0.00029452839789841524","74_86:1;74_67:0.004611081902769931","74_86:0.054024111360884086;74_67:1","74_86:68;74_67:72","true"
"75","233.40746995110436","106.1825243353251","0.0078125","0.00732421875","0.00830078125","1560","0.0002442956217505641","0.0002442956217505641","0","0.0002442956217505641","0.0002442956217505641","75_90:0.0023464644972550075;75_71:0.005789823495786661","75_90:1;75_71:1","75_90:88;75_71:112","true"
"76","180.09724946466955","276.2016708304445","0.111328125","0.017578125","0.205078125","1560","0.0001763490326388674","0.0001763490326388674","0","0.0001763490326388674","0.0001763490326388674","76_91:0.005234827742617798;76_77:0.003487018851497825","76_91:1;76_77:1","76_91:68;76_77:68","true"
"77","180.1678733106549","141.45856950050816","0.016845703125","0.0244140625","0.00927734375","1560","0.00026854715099873175","0.00026854715099873175","0","0.00026854715099873175","0.00026854715099873175","77_78:0.004360199037572621;77_76:0.003487018851497825","77_78:1;77_76:1","77_78:68;77_76:68","true"
"78","93.1024023977942","101.97868426700765","0.044189453125","0.03857421875","0.0498046875","1560","0.0004867514541147132","0.0004867514541147132","0","0.0004867514541147132","0.0004867514541147132","78_77:0.004360199037572621;78_79:0.020624788227094237;78_72:0.0035892195131058124","78_77:1;78_79:1;78_72:0.003065233066416456","78_77:68;78_79:88;78_72:120","true"
"79","61.71807947517145","13.677625043769556","0.0302734375","0.0595703125","0.0009765625","1560","0.0034808373122918266","0.0034808373122918266","0","0.0034808373122918266","0.0034808373122918266","79_78:0.020624788227094237;79_80:0.018802771126868956","79_78:1;79_80:1","79_78:88;79_80:68","true"
"80","163.3963444859047","30.35315283718644","0.02099609375","0.017578125","0.0244140625","1560","0.0003632205507279157","0.0003632205507279157","0","0.0003632205507279157","0.0003632205507279157","80_81:0.003870980963734172;80_92:0.00322667491101708;80_79:0.018802771126868956","80_81:1;80_92:1;80_79:1","80_81:68;80_92:68;80_79:68","true"
"81","196.91025783645767","196.59508809238048","0.006591796875","0.0068359375","0.00634765625","1560","0.00030093853958028193","0.00030093853958028193","0","0.00030093853958028193","0.00030093853958028193","81_80:0.003870980963734172;81_82:0.003405839990265447","81_80:1;81_82:1","81_80:68;81_82:68","true"
"82","157.48105566558846","99.43827386759979","0.060791015625","0.05078125","0.07080078125","1560","0.00038587260742013995","0.00038587260742013995","0","0.00038587260742013995","0.00038587260742013995","82_81:0.003405839990265447;82_83:0.005710367554907003;82_73:0.00249276898572387","82_81:1;82_83:1;82_73:0.0036233510368107458","82_81:68;82_83:68;82_73:88","true"
"83","102.77491768582226","81.77260092279707","0.02294921875","0.0224609375","0.0234375","1560","0.0008550781809376202","0.0008550781809376202","0","0.0008550781809376202","0.0008550781809376202","83_82:0.005710367554907003;83_84:0.01067266315048715","83_82:1;83_84:1","83_82:68;83_84:108","true"
"84","202.5253688911828","97.77218809916229","0.057861328125","0.09326171875","0.0224609375","1560","0.0007405440878324869","0.0007405440878324869","0","0.0007405440878324869","0.0007405440878324869","84_93:0.013178145496815397;84_83:0.01067266315048715;84_85:0.052328562547640345","84_93:1;84_83:1;84_85:1","84_93:68;84_83:108;84_85:88","true"
"85","3.6920398065801816","6.569877942483706","0.033935546875","0.05712890625","0.0107421875","1560","0.003969079218654339","0.003969079218654339","0","0.003969079218654339","0.003969079218654339","85_86:1;85_84:0.052328562547640345","85_86:1;85_84:1","85_86:68;85_84:88","true"
"86","4.066103046172051","80.54822424583139","0.570068359375","0.2412109375","0.89892578125","1560","0.017381667627050887","0.017381667627050887","0","0.017381667627050887","0.017381667627050887","86_85:1;86_74:1;86_87:1","86_85:1;86_74:0.054024111360884086;86_87:1","86_85:68;86_74:68;86_87:68","true"
"87","231.8404283228202","213.4762355499671","0.0087890625","0.0087890625","0.0087890625","1560","0.0001451757684992278","0.0001451757684992278","0","0.0001451757684992278","0.0001451757684992278","87_86:1;87_88:0.0021594024182720606","87_86:1;87_88:1","87_86:68;87_88:68","true"
"88","260.6480010050177","297.0255231628952","0.052001953125","0.03564453125","0.068359375","1560","0.0002856105732534442","0.0002856105732534442","0","0.0002856105732534442","0.0002856105732534442","88_94:0.0033218254901439814;88_87:0.0021594024182720606;88_89:0.004266073126394987","88_94:1;88_87:1;88_89:1","88_94:76;88_87:68;88_89:68","true"
"89","189.79813490343247","170.82320060977938","0.009033203125","0.01123046875","0.0068359375","1560","0.0002795958208149458","0.0002795958208149458","0","0.0002795958208149458","0.0002795958208149458","89_90:0.0032006341394484328;89_88:0.004266073126394987","89_90:1;89_88:1","89_90:68;89_88:68","true"
"90","197.88203798747256","215.46077986917714","0.1787109375","0.09619140625","0.26123046875","1560","0.00025095390274161556","0.00025095390274161556","0","0.00025095390274161556","0.00025095390274161556","90_75:0.0023464644972550075;90_89:0.0032006341394484328","90_75:1;90_89:1","90_75:88;90_89:68","true"
"91","196.17535995109895","71.21481845918994","0.015625","0.013671875","0.017578125","1560","0.00015625623177358355","0.00015625623177358355","0","0.00015625623177358355","0.00015625623177358355","91_95:0.0038895491162111995;91_76:0.005234827742617798","91_95:1;91_76:1","91_95:148;91_76:68","true"
